
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
ShadowStrikePhantomServic     4584 Services                   0     21,488 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
ShadowStrikePhantomTray.e    10408 Console                    1     22,716 K Running         WMYC\shado                                              0:00:00 GDI+ Window (ShadowStrikePhantomTray.exe)                               
svchost.exe                   9568 Services                   0     29,172 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
svchost.exe                  10328 Console                    1     16,012 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
svchost.exe                   2300 Services                   0      8,868 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   8120 Services                   0     14,872 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1260 Services                   0     10,052 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
svchost.exe                   8368 Services                   0     26,688 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   9008 Services                   0     16,616 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
MoNotificationUx.exe          5760 Console                    1     14,344 K Running         WMYC\shado                                              0:00:00 WUIconWindow                                                            
svchost.exe                   7436 Services                   0     16,732 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
WMIADAP.exe                   9844 Services                   0     11,384 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
SearchFilterHost.exe         10860 Services                   0     12,892 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
RuntimeBroker.exe              648 Console                    1     10,520 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
RuntimeBroker.exe             6404 Console                    1     27,256 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
dllhost.exe                   5700 Console                    1      9,836 K Running         WMYC\shado                                              0:00:00 OleMainThreadWndName                                                    
cmd.exe                      11104 Console                    1      8,476 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
conhost.exe                  10728 Console                    1      9,916 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
OpenConsole.exe               8004 Console                    1     14,956 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
WindowsTerminal.exe          10416 Console                    1     81,092 K Running         WMYC\shado                                              0:00:00 ShadowStrike Phantom                                                    
cmd.exe                       8464 Console                    1      8,712 K Running         WMYC\shado                                              0:00:00 C:\WINDOWS\system32\cmd.exe - C:\Users\shado\AppData\Local\ShadowStrike-
conhost.exe                    640 Console                    1     18,336 K Running         WMYC\shado                                              0:00:00 N/A                                                                     
WmiPrvSE.exe                  9992 Services                   0     13,164 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
TrustedInstaller.exe          1188 Services                   0     10,008 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
TiWorker.exe                 10736 Services                   0     17,888 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
tasklist.exe                  9652 Console                    1     12,524 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
